1,8,1,"{-0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{-0.26010448236541920,0.61345446588370140,-0.21877322988186884,11.42089481587616900}",2026-01-05 12:03:00.661251 +00:00
2,1,1,"{-0.20000000000000000,-0.20000000000000000,-0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{0.18750394785786825,-0.35469008904820250,-0.26179938779914946,11.80656240907222500}",2026-01-05 12:03:00.678787 +00:00
3,8,2,"{0.27665991598229867,0.10371473009121325,-0.05475177371832368,2.55353526419088600,0.55561462548864260,-0.29331307349101970}","{-0.062146389381297615,0.22251580110882820,0.07685354194194194,11.62197318716523500}",2026-01-05 12:03:00.661251 +00:00
4,8,3,"{1.40398308582916730,0.37499363155453520,-0.05947426396960495,3.48569600284591140,0.89766520377915350,0.26801401857344150}","{-0.05048872784574022,-0.12359491799654405,-0.14708597535096380,11.85760912420463600}",2026-01-05 12:03:00.661251 +00:00
5,8,4,"{2.61077781837571270,0.76628594544418930,0.17593148300417650,2.97927577865343940,1.19854362062970800,0.99308819735753070}","{0.047613447426225614,-0.34445047500545440,-0.01604704897033777,11.71717444893176800}",2026-01-05 12:03:00.661251 +00:00
6,8,5,"{3.44703059598794700,1.17930235598401920,0.63075862203590760,1.50064981569781600,1.01404429297652520,1.44348576174102950}","{-0.09261292316778749,0.07656756510888478,-0.11972531826456041,11.27938385326662600}",2026-01-05 12:03:00.661251 +00:00
7,8,6,"{4.07539646723877400,1.62290190664873930,1.26639794042548700,1.86559592314590340,1.36238187129876190,1.96172487248886050}","{0.020691408137204582,-0.13954920066294776,0.07866705637575594,11.31706379152478600}",2026-01-05 12:03:00.661251 +00:00
8,8,7,"{4.66382872205339000,2.10663815154093800,2.09596679272110540,1.28671972764668020,1.22906229776658840,2.48239397909481000}","{-0.07866328994475352,-0.31831185582223426,0.22907638425099106,10.94452462147728000}",2026-01-05 12:03:00.661251 +00:00
9,8,8,"{4.89884752693398500,2.56982173568758000,3.06123612464822470,-0.027690415786348368,1.25227833159042270,2.68869172765761540}","{0.09185820487596988,-0.19499908381791164,-0.16114970370159667,11.87523112008397800}",2026-01-05 12:03:00.661251 +00:00
10,8,9,"{4.71871938510095400,2.98803113290381540,4.18983085044490100,-0.93728177260489030,0.98812915349655460,3.35735144625315000}","{-0.09480248698202222,-0.13503101000873550,0.10021535003042208,11.91647892836219700}",2026-01-05 12:03:00.661251 +00:00
11,8,10,"{4.25020093721808100,3.42401409421817500,5.57878572854824400,-1.57263848391049920,1.34749385354465880,4.08347825787190500}","{0.12661426560189942,0.14432729976821307,0.09444698334086343,5.80298855182350700}",2026-01-05 12:03:00.661251 +00:00
12,8,11,"{3.72533983114254940,3.88168081572830100,6.81663192038561850,-1.23911744149413700,1.10429215454530370,2.54784062697117660}","{0.17334287756488437,0.42514973273508840,0.0003016589512090946,10.60011929517715900}",2026-01-05 12:03:00.661251 +00:00
13,8,12,"{3.56289475711851630,4.16663052402324700,7.74704104944311000,0.36887597350824460,0.42222413989190370,2.43649399297967140}","{-0.12063472781078215,0.41767288538522730,-0.25719557435279256,10.33279500652894900}",2026-01-05 12:03:00.661251 +00:00
14,8,13,"{4.00308021905318800,4.33430803296232200,8.62641362961985800,1.98926042971321200,0.47604822942457050,2.27443054368148000}","{-0.14776649733605082,0.03618467833472310,0.029380186678056773,7.38965564990825300}",2026-01-05 12:03:00.661251 +00:00
15,8,14,"{4.76192939904743200,4.58836100739246400,9.30091780871971700,2.07600303454166870,0.88494984787976480,1.33898470149633340}","{0.10179210725940943,-0.61008630921552380,-0.07576776485393254,11.70083963152546300}",2026-01-05 12:03:00.661251 +00:00
16,8,15,"{5.06726573496222200,4.87130071388104400,9.78201384552233400,-0.44027266356958170,0.63079857973762310,1.23831549566053900}","{0.25375367246206710,0.13127067813344936,0.18823581408291484,6.95590372017867200}",2026-01-05 12:03:00.661251 +00:00
17,2,1,"{-0.20000000000000000,0.20000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000}","{-0.25923111830908810,-0.21003861112008870,-0.019086113217220355,10.82299831058790000}",2026-01-05 12:03:00.694358 +00:00
18,1,2,"{-0.51087470258601640,-0.27548505157254327,-0.12560045311891122,-1.66540019242508790,-0.40438420485291054,0.39856900114869000}","{-0.20242259970693915,-0.38595071440187660,-0.15343100011467609,11.95400522705485000}",2026-01-05 12:03:00.678787 +00:00
19,1,3,"{-1.41061401840122770,-0.21399294579794828,0.09557485915222890,-3.15463185658497300,0.73380620007395510,0.78629874316098920}","{-0.22499632267249360,-0.030610382617573113,-0.17663605935968008,10.47405457180720100}",2026-01-05 12:03:00.678787 +00:00
