step,u1_roll,u2_pitch,u3_yaw,u4_thrust
0,0.09437400365086572,0.8186150737897628,0.21102216622840314,11.52717561697538
1,-0.25488776004411423,-0.15767818273680126,0.07752856014779455,11.781309062592724
2,-0.021800340017043205,-0.15178687182148942,0.12034130972963014,11.932089079560178
3,0.06455919741738737,0.13216827620983812,0.25611383742200833,11.518164872562407
4,-0.04989617741985932,-0.2108817877595116,0.023492257947091005,11.926581730703429
5,-0.10013545165347079,-0.15209980277621932,0.2617993877991494,11.690457033893317
6,-0.14757057099610696,-0.2526975320084074,0.23858334424881503,11.52628280338939
7,0.12380170160752829,-0.1418710270706119,0.1687862154793588,10.734480978922278
8,0.16513406229262617,0.06259166064981331,0.15310887251094052,11.851252660481483
9,-0.06914212369241822,-0.01979787584028379,-0.025912878823486057,11.567823234738132
10,-0.003435020631592147,0.5238688445640477,-0.21283594909094997,8.527700945139825
11,-0.023650054656836342,0.13917043112675026,-0.06974892293675528,1.8036896591441447
12,0.12665758467641994,0.1229651068978975,-0.0848276155910138,11.608806212626384
13,0.17499004338600138,-0.034887537407962535,0.14960366292942437,11.771192717652175
14,-0.15301472514953124,-0.7182320361401404,-0.2478577293131966,5.86148851286108
