step,u1_roll,u2_pitch,u3_yaw,u4_thrust
0,0.05923820243202732,0.3267244538918365,-0.17415184237741177,10.458939976180073
1,-0.1786120781364019,0.46153427416064174,0.09785871282560393,11.52484236669361
2,-0.2218591828132217,-0.006996771497724607,-0.2587683473320944,11.239042593344344
3,0.08809349228154426,-0.09027064731176246,0.13809833464415602,11.933387324066373
4,0.14777983307442596,-0.32842384949200837,0.04157471299656658,11.919880542880364
5,-0.1693373967283468,-0.06506458078767643,-0.14417920914001275,11.63410941249053
6,-0.04592703672987559,-0.2636185906785283,0.08756740952884327,10.714184192094391
7,0.09800548539513443,-0.48436547663465507,0.03808370222346242,11.535028084005505
8,-0.039271280478116115,0.17780194982727723,-0.24533917871076646,11.968919411471154
9,-0.06128503133788593,0.0473156016219629,-0.25565267762391347,10.51033299062942
10,-0.09304082886999669,-0.11001208802754209,-0.14374749377374596,10.461892149855492
11,-0.22162354056126127,0.3745885042626205,-0.10374731844103724,6.010954363436951
12,-0.09397063019958876,0.6858839680359676,-0.16707286452343123,11.678098880914826
13,0.2096318759744729,-0.22655296163884736,0.239945249632861,5.738167993944731
14,0.12910597450197436,-0.636775204167247,0.22301663691315193,10.82173876439834
